## (from tabmap V6.0 (2016-08-18)) 2016-09-15T00:35:11
#---------------------------------------------------------------------------
#-- J/AJ/118/1043 Herbig Ae/Be stars catalog (Herbst+, 1999)
#--------------------------------------------------------------------------
#---Table: J/AJ/118/1043/./ctts/gitau.dat CTTS stars individual light curves  (81 records)
#-------------------------------------------------------------------------------
#     Label Format Unit  Explanations
#-------------------------------------------------------------------------------
#        JD F9.3   d     Julian date (JD-2440000) (1)
#      Vmag F5.2   mag   V magnitude
#       U-B F5.2   mag   ?=99.99 U-B colour index
#       B-V F5.2   mag   ?=99.99 B-V colour index
#       V-R F5.2   mag   ?=99.99 V-R colour index
#       R-I F5.2   mag   ?=99.99 R-I colour index
#       Ref A2     ---   Reference in refs.dat file
#      Note A1     ---   [*] Note on V-R colour index (2)
#     Target: GI Tau (classical T Tauri star)
#
#     RA:04 33 34.057
#     DEC:+24 21 17.04
#-------------------------------------------------------------------------------
#Note (1): JD may be negative (for dates before 2440000)
#Note (2): *: the V-R magnitudes given were made in the Johnson system
#-------------------------------------------------------------------------------
--------------------------------------------
         |     |     |     |     |     |  |N
         |     |     |     |     |     |  |o
         |     |     |     |     |     | R|t
       JD| Vmag|  U-B|  B-V|  V-R|  R-I|ef|e
---------|-----|-----|-----|-----|-----|--|-
 6713.462|13.02| 0.09| 1.36| 1.52|99.99|86|*
 6714.459|13.14| 0.14| 1.42| 1.53|99.99|86|*
 6731.273|13.52| 0.10| 1.47| 1.62|99.99|86|*
 6739.210|13.51| 0.15| 1.41| 1.59|99.99|86|*
 6739.334|13.51| 0.17| 1.48| 1.59|99.99|86|*
 7017.455|12.83|-0.06| 1.26| 1.45|99.99|86|*
 7018.438|12.81|99.99| 1.27| 1.48|99.99|86|*
 7020.426|13.11|99.99| 1.28| 1.50|99.99|86|*
 7021.436|12.76|99.99| 1.12| 1.29|99.99|86|*
 7022.411|13.12|99.99| 1.25| 1.56|99.99|86|*
 7026.463|13.25|99.99| 1.50| 1.62|99.99|86|*
 7027.406|13.49|99.99| 1.51| 1.58|99.99|86|*
 7028.416|13.13|99.99| 1.37| 1.54|99.99|86|*
 7030.408|13.12|99.99| 1.36| 1.54|99.99|86|*
 7031.382|13.75|99.99| 1.58| 1.67|99.99|86|*
 7032.394|14.08|99.99| 1.61| 1.73|99.99|86|*
 7033.410|13.49|99.99| 1.60| 1.68|99.99|86|*
 7034.388|14.27|99.99| 1.69| 1.77|99.99|86|*
 7036.403|13.15|99.99| 1.48| 1.54|99.99|86|*
 7037.387|13.19|99.99| 1.50| 1.59|99.99|86|*
 7039.377|13.16|99.99| 1.55| 1.59|99.99|86|*
 7041.378|14.33|99.99| 1.60|99.99|99.99|86|*
 7042.389|13.60|99.99| 1.57|99.99|99.99|86|*
 7060.362|13.15|99.99| 1.60| 1.55|99.99|86|*
 7061.355|13.39|99.99| 1.49| 1.65|99.99|86|*
 7064.351|12.92|99.99| 1.37| 1.49|99.99|86|*
 7083.476|13.62|99.99| 1.61| 1.71|99.99|86|*
 7084.389|13.55|99.99| 1.66| 1.71|99.99|86|*
 7085.434|13.27|99.99| 1.47| 1.64|99.99|86|*
 7087.430|13.19|99.99| 1.44| 1.61|99.99|86|*
 7088.433|13.07|99.99| 1.53| 1.58|99.99|86|*
 7101.386|12.30|99.99| 1.26| 1.30|99.99|86|*
 7109.367|13.80|99.99| 1.62| 1.83|99.99|86|*
 7116.378|13.40|99.99| 1.66| 1.65|99.99|86|*
 7117.379|13.50|99.99| 1.67| 1.73|99.99|86|*
 7124.422|12.98|99.99| 1.34| 1.49|99.99|86|*
 7132.325|13.54|99.99| 1.71| 1.74|99.99|86|*
 7146.322|13.04|99.99| 1.39| 1.55|99.99|86|*
 7148.332|13.54|99.99| 1.51| 1.70|99.99|86|*
 7151.348|12.73|-0.14| 1.12| 1.42|99.99|86|*
 7152.313|12.72|-0.04| 1.21| 1.44|99.99|86|*
 7165.252|12.76|99.99| 1.18| 1.40|99.99|86|*
 7166.279|12.61|99.99| 1.23| 1.39|99.99|86|*
 7381.460|13.06|99.99| 1.64| 1.49|99.99|86|*
